Id-Player,Liga,Vereinsname
954309,"Juniorinnen B, Juniorinnen C",FC Embrach (11266)
539951,"Junioren B 1. Stärkeklasse, Junioren C 1. Stärkeklasse",FC Dielsdorf (11008)
416448,"Junioren A Promotion, Junioren C 1. Stärkeklasse",FC Mönchaltorf (11035)
666237,Junioren C 2. Stärkeklasse,SV Seebach ZH (11488)
1269933,Junioren C 2. Stärkeklasse,FC Mönchaltorf (11035)
839380,"Junioren B 1. Stärkeklasse, Junioren C 2. Stärkeklasse",FC Srbija ZH (11516)
944975,"Junioren A Promotion, Junioren B 2. Stärkeklasse, Junioren C 1. Stärkeklasse",FC Räterschen (11039)
986700,"3. Liga, 5. Liga",FC Neumünster (11481)
453521,3. Liga,FC Schlieren (11045)
1126793,Junioren C 1. Stärkeklasse,FC Fällanden (11017)
611374,"Junioren A Promotion, Junioren B 1. Stärkeklasse",FC Hinwil (11023)
259590,"Junioren B Promotion, Junioren C Promotion",FC Horgen (11024)
949224,Juniorinnen C,FC Wiesendangen (11265)
630249,Frauen 3. Liga,FC Einsiedeln (11712)
369463,Junioren C 2. Stärkeklasse,Cholfirst United (11122)
1008168,"Junioren C 1. Stärkeklasse, Junioren C 2. Stärkeklasse",FC Töss (11260)
1301484,"3. Liga, 5. Liga, Senioren 30+",FC Wädenswil (11051)
888972,Juniorinnen C,FC Herrliberg (11057)
877993,Junioren C 2. Stärkeklasse,Cholfirst United (11122)
482999,Junioren C 2. Stärkeklasse,FC Oerlikon/Polizei ZH (11544)
657088,Juniorinnen B,FC Wetzikon (11055)
495592,"Junioren C 1. Stärkeklasse, Junioren C 2. Stärkeklasse",FC Herrliberg (11057)
1255607,"Junioren B Promotion, Junioren C 1. Stärkeklasse",FC Diessenhofen (11809)
955192,Junioren B 1. Stärkeklasse,FC Beringen (11101)
56136,"Junioren C 1. Stärkeklasse, Junioren C 2. Stärkeklasse",FC Bassersdorf (11070)
601234,Junioren C 2. Stärkeklasse,FC Dielsdorf (11008)
45365,Junioren C 1. Stärkeklasse,FC Wetzikon (11055)
629595,5. Liga,FC Zürich-Affoltern (11467)
684361,Junioren C 2. Stärkeklasse,FC Stammheim (11269)
717575,Frauen 2. Liga,FC Witikon (11496)
1027205,Junioren C 2. Stärkeklasse,FC Effretikon (11502)
1230157,Junioren C Promotion,FC Volketswil (11075)
