Vereinsname,Cant_Player,Cant_Goal,Altersklasse
FC Witikon (11496),386,498,"30+, 40+, 50+, Aktiv, Jun.A, Jun.B, Jun.C, Jun.D"
FC Embrach (11266),304,444,"30+, 40+, 50+, Aktiv, Jun.A, Jun.B, Jun.C, Jun.D"
FC Wiedikon ZH (11494),359,419,"30+, 40+, 50+, Aktiv, Jun.A, Jun.B, Jun.C, Jun.D"
FC Wetzikon (11055),279,417,"30+, 40+, 50+, Aktiv, Jun.A, Jun.B, Jun.C, Jun.D"
FC Herrliberg (11057),320,416,"30+, 40+, 50+, Aktiv, Jun.A, Jun.B, Jun.C, Jun.D"
SC Veltheim (11262),277,374,"30+, 40+, 50+, Aktiv, Jun.A, Jun.B, Jun.C, Jun.D"
FC Schlieren (11045),329,368,"30+, 40+, 50+, Aktiv, Jun.A, Jun.B, Jun.C, Jun.D"
FC Regensdorf (11040),327,354,"30+, 40+, 50+, Aktiv, Jun.A, Jun.B, Jun.C, Jun.D"
FC Dielsdorf (11008),189,349,"30+, 40+, 50+, Aktiv, Jun.A, Jun.B, Jun.C, Jun.D"
FC Wädenswil (11051),388,347,"30+, 40+, 50+, Aktiv, Jun.A, Jun.B, Jun.C, Jun.D"
FC Küsnacht (11030),267,344,"30+, Aktiv, Jun.A, Jun.B, Jun.C, Jun.D"
FC Pfäffikon (11037),328,343,"30+, 40+, 50+, Aktiv, Jun.A, Jun.B, Jun.C, Jun.D"
FC Stäfa 1895 (11047),416,336,"30+, 40+, 50+, Aktiv, Jun.A, Jun.B, Jun.C, Jun.D"
FC Oetwil-Geroldswil (11079),239,325,"30+, 40+, 50+, Aktiv, Jun.A, Jun.B, Jun.C, Jun.D"
FC Effretikon (11502),233,319,"30+, 40+, 50+, Aktiv, Jun.A, Jun.B, Jun.C, Jun.D"
FC Oerlikon/Polizei ZH (11544),266,308,"30+, 40+, Aktiv, Jun.A, Jun.B, Jun.C, Jun.D"
FC Horgen (11024),265,300,"30+, 40+, 50+, Aktiv, Jun.A, Jun.B, Jun.C, Jun.D"
FC Volketswil (11075),337,298,"30+, 40+, 50+, Aktiv, Jun.A, Jun.B, Jun.C, Jun.D"
FC Glattfelden (11022),174,298,"30+, 40+, 50+, Aktiv, Jun.A, Jun.B, Jun.C, Jun.D"
FC Bassersdorf (11070),261,295,"30+, 40+, 50+, Aktiv, Jun.A, Jun.B, Jun.C, Jun.D"
FC Birmensdorf (11004),170,294,"30+, 40+, 50+, Aktiv, Jun.A, Jun.B, Jun.C, Jun.D"
FC Unterstrass (11492),296,288,"30+, 40+, 50+, Aktiv, Jun.A, Jun.B, Jun.C, Jun.D"
FC Affoltern a/A (11002),247,280,"30+, 40+, 50+, Aktiv, Jun.A, Jun.B, Jun.C, Jun.D"
FC Rüti (11044),215,272,"30+, 40+, 50+, Aktiv, Jun.A, Jun.B, Jun.C, Jun.D"
FC Wiesendangen (11265),229,271,"30+, 40+, 50+, Aktiv, Jun.A, Jun.B, Jun.C, Jun.D"
FC Phönix Seen (11258),296,267,"30+, 40+, 50+, Aktiv, Jun.A, Jun.B, Jun.C, Jun.D"
FC Hinwil (11023),218,265,"30+, 40+, Aktiv, Jun.A, Jun.B, Jun.C, Jun.D"
FC Wallisellen (11053),254,264,"30+, 40+, 50+, Aktiv, Jun.A, Jun.B, Jun.C, Jun.D"
FC Zürich-Affoltern (11467),166,251,"30+, 40+, 50+, Aktiv, Jun.A, Jun.B, Jun.C"
FC Wald (11052),206,246,"30+, 40+, 50+, Aktiv, Jun.A, Jun.B, Jun.C, Jun.D"
FC Adliswil (11001),192,241,"30+, 40+, Aktiv, Jun.A, Jun.B, Jun.C, Jun.D"
BC Albisrieden (11542),208,237,"30+, 40+, 50+, Aktiv, Jun.A, Jun.B, Jun.C, Jun.D"
FC Meilen (11034),170,237,"30+, 40+, 50+, Aktiv, Jun.A, Jun.B, Jun.C, Jun.D"
FC Kilchberg-Rüschlikon (11027),248,236,"30+, 40+, 50+, Aktiv, Jun.A, Jun.B, Jun.C, Jun.D"
FC Männedorf (11033),260,235,"30+, 40+, 50+, Aktiv, Jun.A, Jun.B, Jun.C, Jun.D"
FC Brüttisellen-Dietlikon (11005),218,230,"30+, 40+, 50+, Aktiv, Jun.A, Jun.B, Jun.C, Jun.D"
FC Neftenbach (11062),191,230,"30+, 40+, Aktiv, Jun.A, Jun.B, Jun.C, Jun.D"
FC Wülflingen (11264),188,227,"30+, 40+, 50+, Aktiv, Jun.A, Jun.B, Jun.C, Jun.D"
FC Schwamendingen (11487),182,226,"30+, 40+, 50+, Aktiv, Jun.A, Jun.B, Jun.C, Jun.D"
FC Kloten (11028),270,221,"30+, 40+, 50+, Aktiv, Jun.A, Jun.B, Jun.C, Jun.D"
FC Mönchaltorf (11035),121,221,"30+, 40+, Aktiv, Jun.A, Jun.B, Jun.C, Jun.D"
FC Richterswil (11041),185,216,"30+, 40+, 50+, Aktiv, Jun.A, Jun.B, Jun.C, Jun.D"
FC Ellikon Marthalen (11014),228,211,"30+, 40+, 50+, Aktiv, Jun.A, Jun.B, Jun.C, Jun.D"
SV Seebach ZH (11488),142,201,"30+, 40+, 50+, Aktiv, Jun.A, Jun.B, Jun.C, Jun.D"
FC Wollishofen (11497),186,200,"30+, 40+, Aktiv, Jun.A, Jun.B, Jun.C, Jun.D"
FC Glattal Dübendorf (11086),163,190,"30+, 40+, 50+, Aktiv, Jun.A, Jun.B, Jun.C, Jun.D"
FC Gossau (11076),178,187,"30+, 40+, 50+, Aktiv, Jun.A, Jun.B, Jun.C, Jun.D"
FC Glattbrugg (11021),184,182,"30+, 40+, 50+, Aktiv, Jun.A, Jun.B, Jun.C, Jun.D"
FC Srbija ZH (11516),117,179,"30+, 40+, 50+, Aktiv, Jun.A, Jun.B, Jun.C, Jun.D"
FC Räterschen (11039),162,176,"30+, 40+, 50+, Aktiv, Jun.A, Jun.B, Jun.C, Jun.D"
SV Rümlang (11043),155,176,"30+, 40+, 50+, Aktiv, Jun.A, Jun.B, Jun.C, Jun.D"
FC Engstringen (11015),141,174,"30+, 40+, 50+, Aktiv, Jun.A, Jun.B, Jun.C, Jun.D"
FC Einsiedeln (11712),207,174,"30+, 40+, Aktiv, Jun.A, Jun.B, Jun.C, Jun.D"
FC Industrie Turicum (11552),193,173,"30+, 40+, 50+, Aktiv, Jun.A, Jun.B, Jun.C, Jun.D"
FC Niederweningen (11068),163,171,"30+, 40+, 50+, Aktiv, Jun.A, Jun.B, Jun.C"
SC Wipkingen ZH (11495),241,168,"30+, 40+, Aktiv, Jun.A, Jun.B, Jun.C, Jun.D"
FC Rafzerfeld (11100),161,168,"30+, 40+, Aktiv, Jun.A, Jun.B, Jun.C, Jun.D"
FC Fällanden (11017),135,167,"30+, 40+, 50+, Aktiv, Jun.A, Jun.B, Jun.C, Jun.D"
SC Zollikon (11066),184,164,"30+, 40+, Aktiv, Jun.A, Jun.B, Jun.C, Jun.D"
FC Hausen a/A (11080),130,163,"30+, 40+, Aktiv, Jun.A, Jun.B, Jun.C, Jun.D"
FC Oberglatt (11036),207,162,"30+, 40+, 50+, Aktiv, Jun.A, Jun.B, Jun.C, Jun.D"
FC Egg (11012),166,159,"30+, 40+, Aktiv, Jun.A, Jun.B, Jun.C, Jun.D"
FC Urdorf (11069),166,157,"30+, 40+, Aktiv, Jun.A, Jun.B, Jun.C, Jun.D"
FC Altstetten (11469),157,156,"30+, 40+, 50+, Aktiv, Jun.A, Jun.B, Jun.C, Jun.D"
FC Blue Stars ZH (11472),136,156,"30+, 40+, Aktiv, Jun.A, Jun.B, Jun.C, Jun.D"
FC Greifensee (11056),163,156,"30+, 40+, 50+, Aktiv, Jun.A, Jun.B, Jun.C"
SC Siebnen (11746),148,153,"30+, 40+, 50+, Aktiv, Jun.A, Jun.B, Jun.C, Jun.D"
FC Stammheim (11269),100,147,"30+, 40+, Aktiv, Jun.A, Jun.B, Jun.C"
FC Bauma (11003),125,146,"30+, 40+, 50+, Aktiv, Jun.A, Jun.B, Jun.C, Jun.D"
