Id-Player,Goals,Minutes,Altersklasse,Liga,Position,Vereinsname,Sex
954309,51,810,Jun.C,"Juniorinnen B, Juniorinnen C","Flügel links, Sturmspitze links, Sturmspitze rechts",FC Embrach (11266),W
539951,30,786,Jun.C,"Junioren B 1. Stärkeklasse, Junioren C 1. Stärkeklasse","Flügel links, Mittelfeld, Mittelfeld linksaussen, Mittelsturm, Sturmspitze rechts",FC Dielsdorf (11008),M
416448,27,1186,Jun.C,"Junioren A Promotion, Junioren C 1. Stärkeklasse","Mittelsturm, Sturmspitze, Tor",FC Mönchaltorf (11035),M
666237,26,554,Jun.C,Junioren C 2. Stärkeklasse,"Mittelsturm, Sturmspitze, Sturmspitze links, Sturmspitze rechts",SV Seebach ZH (11488),M
1269933,26,785,Jun.D,Junioren C 2. Stärkeklasse,"Flügel links, Sturmspitze links",FC Mönchaltorf (11035),M
839380,26,723,Jun.C,"Junioren B 1. Stärkeklasse, Junioren C 2. Stärkeklasse","Mittelfeld linksaussen, Sturmspitze, Sturmspitze links",FC Srbija ZH (11516),M
944975,25,945,Jun.C,"Junioren A Promotion, Junioren B 2. Stärkeklasse, Junioren C 1. Stärkeklasse","Mittelsturm, Sturmspitze, Sturmspitze rechts",FC Räterschen (11039),M
986700,24,846,Aktiv,"3. Liga, 5. Liga","Mittelfeld linksinnen, Sturmspitze, Sturmspitze links, Sturmspitze rechts",FC Neumünster (11481),M
453521,24,1372,30+,3. Liga,"Flügel links, Sturmspitze",FC Schlieren (11045),M
1126793,24,810,Jun.C,Junioren C 1. Stärkeklasse,Mittelfeld,FC Fällanden (11017),M
611374,24,991,Jun.B,"Junioren A Promotion, Junioren B 1. Stärkeklasse","Ersatz (S), Innenverteidigung rechts, Mittelsturm, Sturmspitze, Sturmspitze links, Sturmspitze rechts",FC Hinwil (11023),M
259590,23,821,Jun.C,"Junioren B Promotion, Junioren C Promotion","Ersatz (S), Flügel rechts, Sturmspitze",FC Horgen (11024),M
949224,22,726,Jun.C,Juniorinnen C,"Flügel links, Mittelfeld linksaussen, Sturmspitze",FC Wiesendangen (11265),W
630249,22,900,Jun.A,Frauen 3. Liga,"Mittelfeld defensiv rechts, Mittelfeld rechtsinnen, Sturmspitze",FC Einsiedeln (11712),W
369463,22,689,Jun.C,Junioren C 2. Stärkeklasse,"Mittelfeld defensiv, Mittelfeld defensiv links, Mittelfeld linksaussen, Mittelfeld rechtsinnen, hängende Spitze",Cholfirst United (11122),W
1008168,22,855,Jun.C,"Junioren C 1. Stärkeklasse, Junioren C 2. Stärkeklasse","Mittelfeld, Mittelfeld defensiv links, Mittelfeld rechtsinnen, Mittelsturm, hängende Spitze",FC Töss (11260),M
1301484,20,766,30+,"3. Liga, 5. Liga, Senioren 30+","Ersatz (S), Sturmspitze, Sturmspitze links",FC Wädenswil (11051),M
888972,20,622,Jun.C,Juniorinnen C,Sturmspitze rechts,FC Herrliberg (11057),W
877993,20,546,Jun.C,Junioren C 2. Stärkeklasse,"Mittelfeld rechts, Sturmspitze, Sturmspitze rechts, hängende Spitze",Cholfirst United (11122),M
482999,20,642,Jun.C,Junioren C 2. Stärkeklasse,"Sturmspitze links, Sturmspitze rechts",FC Oerlikon/Polizei ZH (11544),M
657088,19,693,Jun.C,Juniorinnen B,"Sturmspitze links, Sturmspitze rechts",FC Wetzikon (11055),W
495592,19,774,Jun.C,"Junioren C 1. Stärkeklasse, Junioren C 2. Stärkeklasse","Hängende Spitze rechts, Mittelfeld rechtsinnen, Mittelsturm, Sturmspitze",FC Herrliberg (11057),M
1255607,19,1111,Jun.C,"Junioren B Promotion, Junioren C 1. Stärkeklasse","Mittelfeld linksinnen, Sturmspitze, Sturmspitze links, Sturmspitze rechts",FC Diessenhofen (11809),M
955192,19,591,Jun.B,Junioren B 1. Stärkeklasse,Sturmspitze rechts,FC Beringen (11101),M
56136,19,763,Jun.C,"Junioren C 1. Stärkeklasse, Junioren C 2. Stärkeklasse","Sturmspitze links, Sturmspitze rechts, Verteidigung mitte",FC Bassersdorf (11070),M
601234,19,759,Jun.C,Junioren C 2. Stärkeklasse,"Innenverteidigung links, Libero, Mittelfeld, Sturmspitze, Verteidigung mitte, hängende Spitze links",FC Dielsdorf (11008),M
45365,18,681,Jun.C,Junioren C 1. Stärkeklasse,Sturmspitze links,FC Wetzikon (11055),M
629595,18,666,Aktiv,5. Liga,"Hängende Spitze rechts, Mittelfeld linksinnen, Mittelfeld rechtsaussen, Mittelfeld rechtsinnen, Sturmspitze, Tor",FC Zürich-Affoltern (11467),M
684361,18,685,Jun.C,Junioren C 2. Stärkeklasse,"Mittelfeld, Mittelfeld linksinnen, Sturmspitze links, hängende Spitze",FC Stammheim (11269),M
717575,18,737,Jun.B,Frauen 2. Liga,Sturmspitze links,FC Witikon (11496),W
1027205,18,703,Jun.C,Junioren C 2. Stärkeklasse,"Sturmspitze, Sturmspitze links, Sturmspitze rechts",FC Effretikon (11502),M
1230157,18,714,Jun.C,Junioren C Promotion,Flügel rechts,FC Volketswil (11075),M
456170,17,871,Jun.B,"Junioren B 1. Stärkeklasse, Junioren B 2. Stärkeklasse","Sturmspitze, Sturmspitze links, Sturmspitze rechts",FC Gossau (11076),M
1031583,17,525,Jun.C,Junioren C Promotion,"Mittelfeld linksaussen, Mittelfeld linksinnen, Sturmspitze links, Sturmspitze rechts",SC Veltheim (11262),M
271490,17,846,Jun.C,"Junioren B 1. Stärkeklasse, Junioren C 1. Stärkeklasse","Sturmspitze, Sturmspitze links, Sturmspitze rechts",US Avellino Zurigo (11522),M
193673,17,852,Jun.B,"4. Liga, Junioren B 1. Stärkeklasse","Ersatz (S), Mittelsturm, Sturmspitze, Sturmspitze links",FC Egg (11012),M
968366,17,882,30+,"4. Liga, 5. Liga, Senioren 30+","Mittelfeld links, Sturmspitze, Sturmspitze links, Sturmspitze rechts",Sporting Club Schaffhausen (11114),M
1205218,17,509,Jun.C,Junioren C 2. Stärkeklasse,"Innenverteidigung links, Mittelfeld links, Sturmspitze rechts, Tor",FC Engstringen (11015),M
1393014,17,837,Aktiv,3. Liga,"Mittelfeld, Mittelsturm, Sturmspitze, Sturmspitze links, hängende Spitze",G.S.I. Rümlang 1964 (11064),M
202950,16,990,Jun.D,"Juniorinnen B, Juniorinnen C","Flügel rechts, Mittelfeld linksinnen, Mittelfeld rechtsinnen, Sturmspitze links, Sturmspitze rechts",FC Rüti (11044),W
1361293,16,804,Jun.C,"Junioren B 1. Stärkeklasse, Junioren C 2. Stärkeklasse","Ersatz (S), Sturmspitze links, Sturmspitze rechts, Verteidigung rechts",FC Hausen a/A (11080),M
304895,16,744,Jun.C,Junioren C 2. Stärkeklasse,"Flügel links, Flügel rechts",FC Witikon (11496),M
480395,16,835,Aktiv,Frauen 4. Liga,"Flügel links, Mittelfeld linksaussen, Mittelsturm, Sturmspitze links",FC Hinwil (11023),W
603621,16,855,Jun.C,"Junioren B 1. Stärkeklasse, Junioren C 2. Stärkeklasse","Mittelsturm, Sturmspitze, Sturmspitze rechts",FC Bosna Zürich (11541),M
1179341,16,971,Aktiv,"2. Liga, 3. Liga","Ersatz (S), Sturmspitze, Sturmspitze rechts",FC Phönix Seen (11258),M
431438,16,1800,30+,4. Liga,"Flügel links, Mittelfeld linksaussen, Sturmspitze, hängende Spitze",FC Schwamendingen (11487),M
478456,16,777,Jun.C,Juniorinnen C,"Mittelfeld, Mittelfeld linksinnen, hängende Spitze",FC Meilen (11034),W
615111,16,649,Jun.B,"3. Liga, Junioren B 1. Stärkeklasse","Ersatz (S), Flügel links, Flügel rechts, hängende Spitze, hängende Spitze links",FC Wetzikon (11055),M
544791,16,1502,Aktiv,4. Liga,Mittelfeld,Club Reggina Svizzera (11272),M
117823,16,810,Jun.C,"Juniorinnen B, Juniorinnen C","Mittelfeld, hängende Spitze",FC Herrliberg (11057),W
17831,16,810,Jun.C,Juniorinnen C,"Mittelfeld rechtsinnen, Tor",FC Meilen (11034),W
1245519,16,673,Jun.C,Junioren C 2. Stärkeklasse,"Innenverteidigung links, Innenverteidigung rechts, Mittelfeld linksinnen, Mittelsturm, Sturmspitze",FC Töss (11260),M
1233270,16,549,Aktiv,4. Liga,"Sturmspitze, Sturmspitze links, hängende Spitze",FC Neftenbach (11062),M
1003171,16,604,Jun.C,Junioren C Promotion,"Mittelfeld linksaussen, Mittelfeld rechtsaussen, Sturmspitze links, Sturmspitze rechts",SC Veltheim (11262),M
1073439,16,1090,30+,"4. Liga, 5. Liga, Senioren 30+","Ersatz (S), Mittelfeld defensiv links, Mittelfeld rechtsinnen",Sporting Club Schaffhausen (11114),M
1093611,16,630,Jun.B,Juniorinnen B,"Mittelfeld linksinnen, Mittelsturm",FC Wallisellen (11053),W
32769,16,560,30+,Senioren 30+,"Flügel rechts, Sturmspitze, hängende Spitze",FC Ellikon Marthalen (11014),M
731745,16,846,30+,4. Liga,Mittelfeld linksaussen,FC Männedorf (11033),M
737685,16,645,Jun.B,Juniorinnen B,"Sturmspitze links, Sturmspitze rechts",FC Birmensdorf (11004),W
1121438,16,797,Aktiv,"3. Liga, 5. Liga","Mittelsturm, Sturmspitze, Sturmspitze links, Sturmspitze rechts, Tor",FC Maur (11065),M
239897,16,503,Jun.C,Junioren C 1. Stärkeklasse,Sturmspitze,FC Effretikon (11502),M
678237,15,765,Jun.B,"Frauen 4. Liga, Juniorinnen B","Ersatz (S), Flügel rechts, Mittelfeld linksaussen, Mittelsturm, Sturmspitze, Sturmspitze rechts",FC Horgen (11024),W
1170128,15,632,Jun.C,Junioren C Promotion,"Flügel links, Flügel rechts, Sturmspitze",FC Niederweningen (11068),M
1060240,15,496,Jun.B,Junioren B Promotion,"Mittelfeld rechtsinnen, Sturmspitze, Verteidigung linksaussen",FC Herrliberg (11057),M
980733,15,591,Jun.C,Juniorinnen C,"Mittelfeld linksinnen, Sturmspitze rechts, Tor",FC Küsnacht (11030),W
1110963,15,786,Jun.A,4. Liga,"Hängende Spitze rechts, Sturmspitze links, Sturmspitze rechts, hängende Spitze",FC Effretikon (11502),M
936086,15,751,Aktiv,3. Liga,Sturmspitze,FC Glattfelden (11022),M
928218,15,810,Jun.C,"Juniorinnen B, Juniorinnen C","Sturmspitze, Sturmspitze links, Sturmspitze rechts, hängende Spitze",FC Rafzerfeld (11100),W
1254476,15,617,Jun.C,Junioren C 2. Stärkeklasse,"Mittelfeld, Mittelfeld linksinnen, Mittelfeld rechtsinnen, hängende Spitze",FC Stein am Rhein (11107),M
234752,15,1133,Jun.C,"Junioren B 2. Stärkeklasse, Junioren C 2. Stärkeklasse","Ersatz (S), Innenverteidigung links, Innenverteidigung rechts, Mittelfeld linksinnen, Mittelfeld rechtsinnen, Sturmspitze, Sturmspitze links, Sturmspitze rechts",FC Birmensdorf (11004),M
